,Open,High,Low,Close,Volume,TradingDate
597,8425.0,8459.0,8425.0,8442.0,140030,2012-05-31
598,8442.0,8459.0,8425.0,8425.0,38050,2012-06-01
599,8425.0,8425.0,8374.0,8374.0,99040,2012-06-04
600,8323.0,8391.0,8323.0,8374.0,146830,2012-06-05
601,8442.0,8442.0,8357.0,8425.0,53290,2012-06-06
602,8476.0,8476.0,8425.0,8425.0,32200,2012-06-07
603,8459.0,8545.0,8374.0,8374.0,82110,2012-06-08
604,8442.0,8442.0,8323.0,8391.0,41690,2012-06-11
605,8374.0,8408.0,8357.0,8374.0,85420,2012-06-12
606,8408.0,8408.0,8357.0,8374.0,71920,2012-06-13
607,8408.0,8408.0,8323.0,8340.0,70750,2012-06-14
608,8391.0,8391.0,8340.0,8357.0,108970,2012-06-15
609,8476.0,8476.0,8357.0,8391.0,34490,2012-06-18
610,8374.0,8408.0,8357.0,8391.0,103760,2012-06-19
611,8459.0,8459.0,8391.0,8425.0,89720,2012-06-20
612,8408.0,8425.0,8374.0,8408.0,50360,2012-06-21
613,8391.0,8408.0,8374.0,8374.0,67350,2012-06-22
614,8357.0,8425.0,8357.0,8374.0,42840,2012-06-25
615,8305.0,8340.0,8305.0,8305.0,31110,2012-06-26
616,8374.0,8374.0,8305.0,8305.0,73780,2012-06-27
617,8323.0,8323.0,8049.0,8049.0,36470,2012-06-28
618,8117.0,8186.0,8049.0,8049.0,4970,2012-06-29
619,8152.0,8271.0,8032.0,8049.0,131390,2012-07-02
620,8169.0,8169.0,8032.0,8032.0,12120,2012-07-03
621,8117.0,8117.0,8032.0,8066.0,18440,2012-07-04
622,8117.0,8135.0,8066.0,8117.0,35790,2012-07-05
623,8117.0,8169.0,8117.0,8117.0,26770,2012-07-06
624,7947.0,8117.0,7947.0,8049.0,14410,2012-07-09
625,8032.0,8066.0,8032.0,8032.0,27540,2012-07-10
626,8032.0,8049.0,7998.0,8049.0,40600,2012-07-11
627,8032.0,8049.0,8032.0,8049.0,20870,2012-07-12
628,8066.0,8203.0,8032.0,8169.0,30930,2012-07-13
629,8254.0,8254.0,8066.0,8083.0,23050,2012-07-16
630,8066.0,8083.0,8032.0,8083.0,38870,2012-07-17
631,8100.0,8100.0,8032.0,8049.0,54300,2012-07-18
632,8032.0,8066.0,7998.0,8066.0,62810,2012-07-19
633,8152.0,8186.0,8049.0,8049.0,83160,2012-07-20
634,8049.0,8049.0,8015.0,8049.0,61190,2012-07-23
635,8049.0,8442.0,8049.0,8408.0,297120,2012-07-24
636,8374.0,8374.0,8117.0,8117.0,178060,2012-07-25
637,8066.0,8169.0,8066.0,8169.0,88280,2012-07-26
638,8237.0,8237.0,8169.0,8203.0,116650,2012-07-27
639,8203.0,8374.0,8203.0,8323.0,188880,2012-07-30
640,8117.0,8203.0,8117.0,8135.0,142000,2012-07-31
641,8083.0,8117.0,8049.0,8066.0,134550,2012-08-01
642,8032.0,8135.0,8032.0,8066.0,89910,2012-08-02
643,8032.0,8083.0,8032.0,8083.0,159240,2012-08-03
644,8032.0,8117.0,8032.0,8066.0,148440,2012-08-06
645,8049.0,8083.0,8032.0,8066.0,144950,2012-08-07
646,8049.0,8066.0,8032.0,8049.0,71270,2012-08-08
647,8049.0,8083.0,7964.0,8015.0,324860,2012-08-09
648,8049.0,8049.0,7827.0,7827.0,461230,2012-08-10
649,8049.0,8049.0,7844.0,7947.0,155720,2012-08-13
650,7827.0,8015.0,7827.0,7912.0,223310,2012-08-14
651,7878.0,7929.0,7861.0,7878.0,398780,2012-08-15
652,7929.0,7998.0,7827.0,7827.0,324050,2012-08-16
653,7690.0,7861.0,7690.0,7776.0,219300,2012-08-17
654,7861.0,7895.0,7776.0,7878.0,87130,2012-08-20
655,7861.0,7861.0,7502.0,7519.0,424710,2012-08-21
656,7519.0,7690.0,7485.0,7519.0,175470,2012-08-22
657,7519.0,7519.0,7143.0,7143.0,306220,2012-08-23
658,6836.0,7348.0,6819.0,7195.0,166690,2012-08-24
659,7370.0,7370.0,6845.0,6845.0,327330,2012-08-27
660,6862.0,7002.0,6635.0,6670.0,387150,2012-08-28
661,6827.0,6827.0,6652.0,6687.0,516890,2012-08-29
662,6687.0,6740.0,6652.0,6687.0,556380,2012-08-30
663,6687.0,7020.0,6670.0,7020.0,490150,2012-08-31
664,7335.0,7370.0,7107.0,7318.0,196570,2012-09-04
665,7318.0,7335.0,7090.0,7090.0,172150,2012-09-05
666,7002.0,7090.0,6845.0,6897.0,146150,2012-09-06
667,6897.0,6915.0,6827.0,6880.0,105620,2012-09-07
668,6897.0,6897.0,6670.0,6722.0,94970,2012-09-10
669,6512.0,6775.0,6512.0,6740.0,91990,2012-09-11
670,6722.0,6862.0,6722.0,6775.0,55010,2012-09-12
671,6810.0,6810.0,6705.0,6775.0,142710,2012-09-13
672,6862.0,6862.0,6775.0,6775.0,143660,2012-09-14
673,6775.0,6792.0,6705.0,6757.0,98290,2012-09-17
674,6722.0,6757.0,6617.0,6617.0,168920,2012-09-18
675,6425.0,6565.0,6372.0,6425.0,486130,2012-09-19
676,6442.0,6512.0,6390.0,6425.0,138350,2012-09-20
677,6460.0,6512.0,6425.0,6442.0,49890,2012-09-21
678,6442.0,6442.0,6390.0,6407.0,104050,2012-09-24
679,6442.0,6442.0,6390.0,6407.0,126430,2012-09-25
680,6442.0,6495.0,6390.0,6477.0,129510,2012-09-26
681,6530.0,6792.0,6495.0,6652.0,254170,2012-09-27
682,6652.0,6722.0,6617.0,6635.0,94180,2012-09-28
683,6547.0,6582.0,6425.0,6460.0,74140,2012-10-01
684,6460.0,6495.0,6425.0,6460.0,110610,2012-10-02
685,6460.0,6512.0,6460.0,6460.0,65800,2012-10-03
686,6460.0,6495.0,6442.0,6442.0,93060,2012-10-04
687,6477.0,6477.0,6442.0,6442.0,46100,2012-10-05
688,6407.0,6495.0,6407.0,6460.0,64880,2012-10-08
689,6477.0,6652.0,6460.0,6512.0,143640,2012-10-09
690,6565.0,6565.0,6530.0,6565.0,42760,2012-10-10
691,6617.0,6617.0,6547.0,6547.0,160130,2012-10-11
692,6547.0,6582.0,6495.0,6495.0,45680,2012-10-12
